,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,+_A,-_A,Mean 3 +_A,Mean 3 -_A,+_B,-_B,Mean 3 +_B,Mean 3 -_B,Score Difference,Points Difference,Result
0,Fri,2019-06-07,WWC,France,Korea Republic,0,0,4.0,2043.0,2046.0,-1.0,14.0,1883.0,1880.0,0.0,0,0,2.6666666666666665,0.6666666666666666,0,0,1.3333333333333333,1.3333333333333333,0,160.0,1
1,Fri,2019-06-07,WWC,Korea Republic,France,0,0,14.0,1883.0,1880.0,0.0,4.0,2043.0,2046.0,-1.0,0,0,1.3333333333333333,1.3333333333333333,0,0,2.6666666666666665,0.6666666666666666,0,-160.0,1
2,Sat,2019-06-08,WWC,Spain,South Africa,0,0,13.0,1913.0,1920.0,-1.0,49.0,1485.0,1480.0,-1.0,0,0,2.0,0.0,0,0,1.0,2.333333333333333,0,428.0,1
3,Sat,2019-06-08,WWC,Germany,China PR,0,0,2.0,2072.0,2057.0,0.0,16.0,1866.0,1871.0,-1.0,0,0,1.6666666666666667,0.3333333333333333,0,0,0.6666666666666666,1.3333333333333333,0,206.0,1
4,Sat,2019-06-08,WWC,China PR,Germany,0,0,16.0,1866.0,1871.0,-1.0,2.0,2072.0,2057.0,0.0,0,0,0.6666666666666666,1.3333333333333333,0,0,1.6666666666666667,0.3333333333333333,0,-206.0,1
5,Sat,2019-06-08,WWC,Nigeria,Norway,0,0,38.0,1599.0,1586.0,1.0,12.0,1915.0,1902.0,1.0,0,0,1.3333333333333333,1.6666666666666667,0,0,4.0,1.0,0,-316.0,1
6,Sat,2019-06-08,WWC,South Africa,Spain,0,0,49.0,1485.0,1480.0,-1.0,13.0,1913.0,1920.0,-1.0,0,0,1.0,2.333333333333333,0,0,2.0,0.0,0,-428.0,1
7,Sat,2019-06-08,WWC,Norway,Nigeria,0,0,12.0,1915.0,1902.0,1.0,38.0,1599.0,1586.0,1.0,0,0,4.0,1.0,0,0,1.3333333333333333,1.6666666666666667,0,316.0,1
8,Sun,2019-06-09,WWC,Jamaica,Brazil,0,0,53.0,1449.0,1436.0,0.0,10.0,1944.0,1964.0,0.0,0,0,2.6666666666666665,2.0,0,0,0.6666666666666666,1.6666666666666667,0,-495.0,1
9,Sun,2019-06-09,WWC,Scotland,England,0,0,20.0,1812.0,1810.0,0.0,3.0,2049.0,2021.0,1.0,0,0,1.6666666666666667,1.0,0,0,1.6666666666666667,0.3333333333333333,0,-237.0,1
10,Sun,2019-06-09,WWC,Brazil,Jamaica,0,0,10.0,1944.0,1964.0,0.0,53.0,1449.0,1436.0,0.0,0,0,0.6666666666666666,1.6666666666666667,0,0,2.6666666666666665,2.0,0,495.0,1
11,Sun,2019-06-09,WWC,Australia,Italy,0,0,6.0,2003.0,1999.0,0.0,15.0,1868.0,1859.0,1.0,0,0,3.333333333333333,2.0,0,0,2.333333333333333,1.6666666666666667,0,135.0,1
12,Sun,2019-06-09,WWC,England,Scotland,0,0,3.0,2049.0,2021.0,1.0,20.0,1812.0,1810.0,0.0,0,0,1.6666666666666667,0.3333333333333333,0,0,1.6666666666666667,1.0,0,237.0,1
13,Sun,2019-06-09,WWC,Italy,Australia,0,0,15.0,1868.0,1859.0,1.0,6.0,2003.0,1999.0,0.0,0,0,2.333333333333333,1.6666666666666667,0,0,3.333333333333333,2.0,0,-135.0,1
14,Mon,2019-06-10,WWC,Argentina,Japan,0,0,37.0,1626.0,1631.0,-1.0,7.0,1991.0,1984.0,1.0,0,0,1.0,2.0,0,0,1.0,2.6666666666666665,0,-365.0,1
15,Mon,2019-06-10,WWC,Japan,Argentina,0,0,7.0,1991.0,1984.0,1.0,37.0,1626.0,1631.0,-1.0,0,0,1.0,2.6666666666666665,0,0,1.0,2.0,0,365.0,1
16,Mon,2019-06-10,WWC,Cameroon,Canada,0,0,46.0,1499.0,1499.0,0.0,5.0,2006.0,2006.0,0.0,0,0,2.6666666666666665,2.0,0,0,1.0,0.0,0,-507.0,1
17,Mon,2019-06-10,WWC,Canada,Cameroon,0,0,5.0,2006.0,2006.0,0.0,46.0,1499.0,1499.0,0.0,0,0,1.0,0.0,0,0,2.6666666666666665,2.0,0,507.0,1
18,Tue,2019-06-11,WWC,Netherlands,New Zealand,0,0,8.0,1967.0,1987.0,-1.0,19.0,1815.0,1819.0,0.0,0,0,1.0,0.6666666666666666,0,0,0.6666666666666666,2.6666666666666665,0,152.0,1
19,Tue,2019-06-11,WWC,Sweden,Chile,0,0,9.0,1962.0,1976.0,0.0,39.0,1589.0,1601.0,-1.0,0,0,0.6666666666666666,0.6666666666666666,0,0,0.6666666666666666,1.3333333333333333,0,373.0,1
20,Tue,2019-06-11,WWC,Thailand,United States,0,0,34.0,1658.0,1670.0,-5.0,1.0,2101.0,2123.0,0.0,0,0,0.3333333333333333,3.333333333333333,0,0,3.0,0.0,0,-443.0,1
21,Tue,2019-06-11,WWC,United States,Thailand,0,0,1.0,2101.0,2123.0,0.0,34.0,1658.0,1670.0,-5.0,0,0,3.0,0.0,0,0,0.3333333333333333,3.333333333333333,0,443.0,1
