;Rank;Points;Previous_Points;+/-;Name_FIFA;Soccerway_name;Name_SW
0;1;2101;2123;0;USA;united-states;United States
1;2;2072;2057;0;Germany;germany;Germany
2;3;2049;2021;1;England;england;England
3;4;2043;2046;-1;France;france;France
4;5;2006;2006;0;Canada;canada;Canada
5;6;2003;1999;0;Australia;australia;Australia
6;7;1991;1984;1;Japan;japan;Japan
7;8;1967;1987;-1;Netherlands;netherlands;Netherlands
8;9;1962;1976;0;Sweden;sweden;Sweden
9;10;1944;1964;0;Brazil;brazil;Brazil
10;11;1940;1938;0;Korea DPR;korea-dpr;Korea DPR
11;12;1915;1902;1;Norway;norway;Norway
12;13;1913;1920;-1;Spain;spain;Spain
13;14;1883;1880;0;Korea Republic;korea-republic;Korea Republic
14;15;1868;1859;1;Italy;italy;Italy
15;16;1866;1871;-1;China PR;china-pr;China PR
16;17;1840;1842;0;Denmark;denmark;Denmark
17;18;1828;1832;0;Switzerland;switzerland;Switzerland
18;19;1815;1819;0;New Zealand;new-zealand;New Zealand
19;20;1812;1810;0;Scotland;scotland;Scotland
20;20;1812;1803;1;Belgium;belgium;Belgium
21;22;1806;1798;0;Iceland;iceland;Iceland
22;23;1798;1797;0;Austria;austria;Austria
23;24;1714;1728;0;Ukraine;ukraine;Ukraine
24;25;1713;1713;0;Russia;russia;Russia
25;26;1700;1698;1;Mexico;mexico;Mexico
26;26;1700;1700;0;Colombia;colombia;Colombia
27;28;1676;1656;6;Poland;poland;Poland
28;29;1669;1668;2;Czech Republic;czech-republic;Czech Republic
29;30;1668;1665;2;Portugal;portugal;Portugal
30;31;1666;1663;2;Republic of Ireland;ireland-republic;Republic of Ir…
31;32;1665;1672;-4;Finland;finland;Finland
32;33;1663;1670;-4;Wales;wales;Wales
33;34;1658;1670;-5;Thailand;thailand;Thailand
34;35;1638;1638;0;Vietnam;vietnam;Vietnam
35;36;1630;1630;1;Costa Rica;costa-rica;Costa Rica
36;37;1626;1631;-1;Argentina;argentina;Argentina
37;38;1599;1586;1;Nigeria;nigeria;Nigeria
38;39;1589;1601;-1;Chile;chile;Chile
39;40;1574;1577;0;Chinese Taipei;chinese-taipei;Chinese Taipei
40;41;1551;1549;0;Romania;romania;Romania
41;42;1545;1557;-42;Uzbekistan;uzbekistan;Uzbekistan
42;43;1539;1543;-1;Serbia;serbia;Serbia
43;44;1530;1519;0;Myanmar;myanmar;Myanmar
44;45;1527;1524;-2;Hungary;hungary;Hungary
45;46;1499;1509;-1;Slovakia;slovakia;Slovakia
46;46;1499;1499;0;Cameroon;cameroon;Cameroon
47;48;1494;1494;-1;Paraguay;paraguay;Paraguay
48;49;1485;1480;-1;South Africa;south-africa;South Africa
49;50;1479;1479;-1;Papua New Guinea;papua-new-guinea;Papua New Guinea
